BPF Resource Thief Detector — Session Report
Generated : 2026-08-23 20:48:59.850662
Events    : 197
============================================================

[INFO] 20:48:41 | PID 58460 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:41 | PID 58462 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:41 | PID 58464 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:45 | PID 58476 (sh) | New process spawned -> /usr/bin/which
[INFO] 20:48:45 | PID 58478 (sh) | New process spawned -> /usr/bin/ps
[ALERT] 20:48:45 | PID 58478 (ps) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:45 | PID 58480 (sh) | New process spawned -> /snap/code/258/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh
[INFO] 20:48:45 | PID 58481 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:45 | PID 58482 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:45 | PID 58483 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:45 | PID 58484 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:45 | PID 58485 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:45 | PID 58486 (cpuUsage.sh) | New process spawned -> /usr/bin/sleep
[INFO] 20:48:46 | PID 58487 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:46 | PID 58488 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:46 | PID 58490 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:46 | PID 58492 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:46 | PID 58494 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:50 | PID 58507 (sh) | New process spawned -> /usr/bin/which
[INFO] 20:48:50 | PID 58509 (sh) | New process spawned -> /usr/bin/ps
[ALERT] 20:48:50 | PID 58509 (ps) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:50 | PID 58512 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:50 | PID 58513 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:50 | PID 58511 (sh) | New process spawned -> /snap/code/258/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh
[INFO] 20:48:50 | PID 58514 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:50 | PID 58515 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:50 | PID 58516 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:50 | PID 58517 (cpuUsage.sh) | New process spawned -> /usr/bin/sleep
[INFO] 20:48:51 | PID 58518 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:51 | PID 58519 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:51 | PID 58521 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:51 | PID 58523 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:51 | PID 58525 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:53 | PID 58532 (sh) | New process spawned -> /usr/bin/which
[INFO] 20:48:53 | PID 58534 (sh) | New process spawned -> /usr/bin/ps
[ALERT] 20:48:53 | PID 58534 (ps) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:53 | PID 58536 (sh) | New process spawned -> /snap/code/258/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh
[INFO] 20:48:53 | PID 58537 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:53 | PID 58538 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:53 | PID 58539 (cpuUsage.sh) | New process spawned -> /usr/bin/sleep
[ALERT] 20:48:53 | PID 24884 (libuv-worker) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:54 | PID 58540 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:54 | PID 58541 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:55 | PID 58544 (sh) | New process spawned -> /usr/bin/which
[INFO] 20:48:55 | PID 58546 (sh) | New process spawned -> /usr/bin/ps
[ALERT] 20:48:55 | PID 58546 (ps) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:55 | PID 58549 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:55 | PID 58551 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:55 | PID 58548 (sh) | New process spawned -> /snap/code/258/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh
[INFO] 20:48:55 | PID 58550 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:55 | PID 58552 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:55 | PID 58553 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:55 | PID 58554 (cpuUsage.sh) | New process spawned -> /usr/bin/sleep
[INFO] 20:48:56 | PID 58555 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:56 | PID 58556 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:56 | PID 58558 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:56 | PID 58560 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:56 | PID 58562 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[ALERT] 20:48:56 | PID 24884 (libuv-worker) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:58 | PID 58565 (sh) | New process spawned -> /usr/bin/which
[INFO] 20:48:58 | PID 58567 (sh) | New process spawned -> /usr/bin/ps
[ALERT] 20:48:58 | PID 58567 (ps) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:58 | PID 58569 (sh) | New process spawned -> /snap/code/258/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh
[INFO] 20:48:58 | PID 58570 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:58 | PID 58571 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:58 | PID 58572 (cpuUsage.sh) | New process spawned -> /usr/bin/sleep
[INFO] 20:48:59 | PID 58573 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:59 | PID 58574 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
